% 1. Title: learnWeka1
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION TestKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC   
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE Label   {0,1,2}
   @Data
0.04643990929704955,-145018.25966818703,-575744.8525485453,1
0.04643990929704955,-144288.46285644887,-810904.107013219,1
0.0928798185940991,-137719.37330438037,-1011236.7578409927,1
0.04643990929704955,-149296.51200752598,-814266.3558799917,1
0.0928798185940991,-140315.61710233227,-1009394.3933872714,1
0.046439909297053106,-158567.38965387753,-595617.1349590988,0
0.04643990929704955,-138192.34004589915,-560621.5446155987,0
0.04643990929704955,-151692.28753638826,-590952.2475566868,0
0.04643990929704955,-163672.98070195274,-827877.9002929947,0
0.04643990929704955,-166953.27922110725,-598498.4298034147,0
0.1857596371881982,-136937.1989204892,-1381588.3382162994,2
0.09287981859410444,-156313.05046721172,-1041426.5634495039,2
0.0928798185940991,-135261.86794801732,-1023988.3053881158,2
0.09287981859415595,-136866.53248438984,-978585.1011490936,2
0.09287981859415595,-162555.13510788852,-559542.9936705811,2
